Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
23-10-2025,19:53,TESLA INC,US88160R1014,NDQ,EDGX,-3,"447,0000",USD,"1341,00",USD,"1155,05","1,1610","-2,89","-2,00","1150,16",731197a3-5954-4540-b095-04d45b8acd1b
23-10-2025,17:38,STRATEGY INC CLASS A,US5949724083,NDQ,XNAS,2,"286,0000",USD,"-572,00",USD,"-492,77","1,1608","-1,23","-2,00","-496,00",5d8a76ce-027c-404c-b61d-c5c538eda08d
23-10-2025,16:22,STRATEGY INC CLASS A,US5949724083,NDQ,BATS,-3,"280,0000",USD,"840,00",USD,"723,52","1,1610","-1,81","-2,00","719,71",2c679a0c-6904-43a1-93cd-9d1e3d7c8ba9
23-10-2025,16:05,TESLA INC,US88160R1014,NDQ,CDED,4,"424,9600",USD,"-1699,84",USD,"-1463,87","1,1612","-3,66","-2,00","-1469,53",61be3762-9b05-4561-94d7-5e9e59609e91
22-10-2025,21:45,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNAS,17,"47,5500",USD,"-808,35",USD,"-696,44","1,1607","-1,74","-2,00","-700,18",efe69139-41f3-47a3-81fe-72c9865bceda
22-10-2025,20:59,TESLA INC,US88160R1014,NDQ,CDED,3,"436,2600",USD,"-1308,78",USD,"-1127,39","1,1609","-2,82","-2,00","-1132,21",f3fad6e7-05ad-4c1b-9cc8-dfc7fbbe3be0
22-10-2025,16:27,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,-4,"290,5000",USD,"1162,00",USD,"1001,90","1,1598","-2,50","-2,00","997,40",6750c29a-9a99-4382-a74a-b0a7915f8f8d
22-10-2025,16:14,TESLA INC,US88160R1014,NDQ,CDED,-3,"439,0350",USD,"1317,10",USD,"1136,03","1,1594","-2,84","-2,00","1131,19",77d243f5-b917-4863-be00-cbf3891a8caa
22-10-2025,16:09,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-17,"47,8400",USD,"813,28",USD,"701,47","1,1594","-1,75","-2,00","697,72",c619b04d-ed43-4c3a-921a-ed63e6b2fe25
21-10-2025,16:12,STRATEGY INC CLASS A,US5949724083,NDQ,EDGX,2,"296,5500",USD,"-593,10",USD,"-510,77","1,1612","-1,28","-2,00","-514,04",dfe41ab8-c8a7-463e-8b1e-9b4dda414023
20-10-2025,20:33,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,XNYS,-10,"84,0000",USD,"840,00",USD,"721,34","1,1645","-1,80","-2,00","717,54",0313ba42-f985-40dd-a9c2-e784bd22138e
20-10-2025,16:02,STRATEGY INC CLASS A,US5949724083,NDQ,XNAS,3,"304,1700",USD,"-912,51",USD,"-783,41","1,1648","-1,96","-2,00","-787,37",d0a8ecc9-163f-4bf8-b30f-40370efccd27
20-10-2025,16:01,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,CDED,10,"89,4800",USD,"-894,80",USD,"-768,21","1,1648","-1,92","-2,00","-772,13",58a9b0a4-94e3-4795-833c-7c128db80891
17-10-2025,21:55,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,SOHO,10,"50,5700",USD,"-505,70",USD,"-433,41","1,1668","-1,08","-2,00","-436,49",8704b31a-df47-4016-902b-7f83bedd4668
17-10-2025,21:55,TESLA INC,US88160R1014,NDQ,XNAS,-2,"439,0000",USD,"878,00",USD,"752,49","1,1668","-1,88","-2,00","748,61",69fd5813-0526-4838-990a-7ddec5d9081a
17-10-2025,16:07,TESLA INC,US88160R1014,NDQ,CDED,2,"434,2200",USD,"-868,44",USD,"-744,81","1,1660","-1,86","-2,00","-748,67",b5dbbcdd-a994-4a84-b41b-c1384f2dc7cd
17-10-2025,16:01,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-10,"53,2600",USD,"532,60",USD,"456,27","1,1673","-1,14","-2,00","453,13",3e46818d-391a-4132-8038-bdad3ad76795
16-10-2025,19:00,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,2,"291,7200",USD,"-583,44",USD,"-499,61","1,1678","-1,25","-2,00","-502,86",a0b26e89-c1ab-41c7-94bb-b260da26e14b
16-10-2025,18:58,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,10,"59,4950",USD,"-594,95",USD,"-509,47","1,1678","-1,27","-2,00","-512,74",a142fefb-7211-4213-a788-d63161ca9fca
16-10-2025,16:15,STRATEGY INC CLASS A,US5949724083,NDQ,XNAS,-2,"297,6400",USD,"595,28",USD,"510,36","1,1664","-1,28","-2,00","507,08",04c3cd1e-cb55-479c-b725-f21b26d066e8
16-10-2025,16:10,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,SOHO,-10,"61,7300",USD,"617,30",USD,"529,42","1,1660","-1,32","-2,00","526,10",e005f929-40ed-4b97-b4f8-fa00ed9c3b7e
15-10-2025,21:13,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNYS,-6,"64,9000",USD,"389,40",USD,"334,62","1,1637","-0,84","-2,00","331,79",0fabe82a-1f46-4cb9-a80b-dd18ab8cf670
15-10-2025,19:52,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,EDGX,-10,"59,0000",USD,"590,00",USD,"507,36","1,1629","-1,27","-2,00","504,09",58532ff5-de7b-4fff-abba-c1e924a51440
15-10-2025,19:16,STRATEGY INC CLASS A,US5949724083,NDQ,JNST,-2,"295,3000",USD,"590,60",USD,"507,65","1,1634","-1,27","-2,00","504,38",7b3136e8-24ce-4f6c-99a1-35959008d6bb
15-10-2025,16:49,CELULARITY INC CLASS A,US1511902041,NDQ,BATS,-24,"2,2400",USD,"53,76",USD,"46,25","1,1625","-0,12",,"46,13",dffa7c26-238e-4246-afab-c2ee7aa411f5
15-10-2025,16:21,CELULARITY INC CLASS A,US1511902041,NDQ,BATS,-76,"2,2400",USD,"170,24",USD,"146,44","1,1625","-0,37",,"146,08",dffa7c26-238e-4246-afab-c2ee7aa411f5
15-10-2025,16:21,CELULARITY INC CLASS A,US1511902041,NDQ,BATS,-5,"2,2400",USD,"11,20",USD,"9,63","1,1625","-0,02","-2,00","7,61",dffa7c26-238e-4246-afab-c2ee7aa411f5
15-10-2025,16:01,STRATEGY INC CLASS A,US5949724083,NDQ,ARCX,2,"304,1000",USD,"-608,20",USD,"-523,10","1,1627","-1,31","-2,00","-526,40",1cecc66e-9e54-4463-9ca2-8edadb864ac9
14-10-2025,21:56,CELULARITY INC CLASS A,US1511902041,NDQ,XNAS,-95,"2,2800",USD,"216,60",USD,"186,63","1,1606","-0,47","-2,00","184,16",e81b85db-3330-4ada-a6d0-8681a643be7d
14-10-2025,19:17,CLEANSPARK INC,US18452B2097,NDQ,ARCX,-30,"21,9500",USD,"658,50",USD,"567,48","1,1604","-1,42","-2,00","564,06",a2d259d6-220b-4e13-b48f-86362f8e5d81
14-10-2025,16:28,CELULARITY INC CLASS A,US1511902041,NDQ,ARCX,10,"2,1500",USD,"-21,50",USD,"-18,56","1,1585","-0,05",,"-18,60",ffa52aa5-2cd3-4617-9856-45e60ae3c7e6
14-10-2025,16:28,CELULARITY INC CLASS A,US1511902041,NDQ,ARCX,1,"2,1500",USD,"-2,15",USD,"-1,86","1,1585","-0,00",,"-1,86",ffa52aa5-2cd3-4617-9856-45e60ae3c7e6
14-10-2025,16:28,CELULARITY INC CLASS A,US1511902041,NDQ,ARCX,89,"2,1500",USD,"-191,35",USD,"-165,17","1,1585","-0,41",,"-165,58",ffa52aa5-2cd3-4617-9856-45e60ae3c7e6
